DATASOURCE,DAYOFSERVICE,TRIPID,PROGRNUMBER,STOPPOINTID,PLANNEDTIME_ARR,PLANNEDTIME_DEP,ACTUALTIME_ARR,ACTUALTIME_DEP,VEHICLEID,PASSENGERS,PASSENGERSIN,PASSENGERSOUT,DISTANCE,SUPPRESSED,JUSTIFICATIONID,LASTUPDATE,NOTE
146,DB,06-JAN-18 00:00:00,5960080,32,1649,30548,30548,30527,30538,2534820,,,,,,,15-JAN-18 08:25:25,
147,DB,06-JAN-18 00:00:00,5967858,36,1675,63644,63644,63618,63618,2693289,,,,,,,15-JAN-18 08:25:25,
148,DB,06-JAN-18 00:00:00,5956806,32,668,82312,82312,82085,82085,2172288,,,,,,,15-JAN-18 08:25:25,
149,DB,06-JAN-18 00:00:00,5972112,36,1974,84787,84787,84988,84988,2693236,,,,,,,15-JAN-18 08:25:25,
150,DB,06-JAN-18 00:00:00,5964163,25,536,45220,45220,45496,45496,1000768,,,,,,,15-JAN-18 08:25:25,
151,DB,06-JAN-18 00:00:00,5970911,29,2896,50072,50072,49852,49852,2172246,,,,,,,15-JAN-18 08:25:25,
152,DB,06-JAN-18 00:00:00,5972097,9,1291,62212,62212,62333,62355,1001138,,,,,,,15-JAN-18 08:25:25,
153,DB,06-JAN-18 00:00:00,5970899,41,198,67682,67682,67841,67861,2693193,,,,,,,15-JAN-18 08:25:25,
154,DB,06-JAN-18 00:00:00,5970792,2,396,84749,84749,84658,84678,2868352,,,,,,,15-JAN-18 08:25:25,
155,DB,07-JAN-18 00:00:00,6104100,17,757,59183,59183,59106,59119,2693279,,,,,,,15-JAN-18 08:39:15,
156,DB,07-JAN-18 00:00:00,6104442,19,4204,54009,54009,54042,54042,2693274,,,,,,,15-JAN-18 08:39:15,
157,DB,07-JAN-18 00:00:00,6091087,22,5148,66579,66579,66612,66625,2534792,,,,,,,15-JAN-18 08:39:15,
158,DB,07-JAN-18 00:00:00,6101675,47,1078,73372,73372,73518,73518,2693264,,,,,,,15-JAN-18 08:39:15,
159,DB,06-JAN-18 00:00:00,5967050,13,1532,83510,83510,83474,83474,2693196,,,,,,,15-JAN-18 08:25:25,
160,DB,07-JAN-18 00:00:00,6097110,47,1872,83816,83816,83141,83152,1001220,,,,,,,15-JAN-18 08:39:15,
161,DB,07-JAN-18 00:00:00,6097514,55,2290,40801,40801,40294,40294,1000144,,,,,,,15-JAN-18 08:39:15,
162,DB,07-JAN-18 00:00:00,6089518,26,2242,73035,73035,72502,72502,1000930,,,,,,,15-JAN-18 08:39:15,
163,DB,07-JAN-18 00:00:00,6089738,41,3226,72036,72036,71817,71817,1000939,,,,,,,15-JAN-18 08:39:15,
164,DB,07-JAN-18 00:00:00,6100118,7,3164,48972,48972,49060,49070,2868311,,,,,,,15-JAN-18 08:39:15,
165,DB,07-JAN-18 00:00:00,6102108,35,1277,50803,50803,50937,50937,2406921,,,,,,,15-JAN-18 08:39:15,
166,DB,07-JAN-18 00:00:00,6089739,49,4147,76356,76356,76482,76482,1000939,,,,,,,15-JAN-18 08:39:15,
167,DB,07-JAN-18 00:00:00,6103703,47,479,78561,78561,78840,78840,2172278,,,,,,,15-JAN-18 08:39:15,
168,DB,07-JAN-18 00:00:00,6100246,13,173,64225,64225,64351,64351,2172305,,,,,,,15-JAN-18 08:39:15,
169,DB,07-JAN-18 00:00:00,6099557,37,1284,56796,56796,56833,56844,2172264,,,,,,,15-JAN-18 08:39:15,
170,DB,07-JAN-18 00:00:00,6104089,40,197,47880,47880,47709,47720,2172309,,,,,,,15-JAN-18 08:39:15,
171,DB,07-JAN-18 00:00:00,6101573,48,2481,40709,40709,40447,40490,2172304,,,,,,,15-JAN-18 08:39:15,
172,DB,07-JAN-18 00:00:00,6099913,16,1648,41136,41136,42371,42387,1000176,,,,,,,15-JAN-18 08:39:15,
173,DB,07-JAN-18 00:00:00,6092221,36,1161,54012,54012,54010,54018,2868404,,,,,,,15-JAN-18 08:39:15,
174,DB,07-JAN-18 00:00:00,6101542,32,2217,75631,75631,75190,75190,2693268,,,,,,,15-JAN-18 08:39:15,
175,DB,07-JAN-18 00:00:00,6098955,20,3374,35445,35445,35516,35516,2406914,,,,,,,15-JAN-18 08:39:15,
176,DB,08-JAN-18 00:00:00,6091602,29,2187,57092,57092,56879,56895,2172257,,,,,,,16-JAN-18 08:33:19,
177,DB,08-JAN-18 00:00:00,6101220,33,14,67296,67296,66759,66773,2868371,,,,,,,16-JAN-18 08:33:19,
178,DB,08-JAN-18 00:00:00,6091519,46,7276,41555,41555,42016,42016,2406910,,,,,,,16-JAN-18 08:33:19,
179,DB,08-JAN-18 00:00:00,6094778,71,1445,66206,66206,65457,65466,1000580,,,,,,,16-JAN-18 08:33:19,
180,DB,08-JAN-18 00:00:00,6094537,60,908,67646,67646,67208,67220,1000907,,,,,,,16-JAN-18 08:33:19,
181,DB,08-JAN-18 00:00:00,6091238,59,2101,63660,63660,63353,63366,2172293,,,,,,,16-JAN-18 08:33:19,
182,DB,08-JAN-18 00:00:00,6093255,10,1154,54533,54533,54478,54489,2534827,,,,,,,16-JAN-18 08:33:19,
183,DB,08-JAN-18 00:00:00,6104181,35,2495,39379,39379,39315,39326,1000249,,,,,,,16-JAN-18 08:33:19,
184,DB,08-JAN-18 00:00:00,6101872,8,4799,80194,80194,80066,80066,1000251,,,,,,,16-JAN-18 08:33:19,
185,DB,08-JAN-18 00:00:00,6102904,65,220,55697,55697,56764,56790,1000113,,,,,,,16-JAN-18 08:33:19,
186,DB,08-JAN-18 00:00:00,6089100,10,4569,50821,50821,50940,50958,1000566,,,,,,,16-JAN-18 08:33:19,
187,DB,08-JAN-18 00:00:00,6101394,17,2338,53414,53414,53755,53768,2868318,,,,,,,16-JAN-18 08:33:19,
188,DB,08-JAN-18 00:00:00,6088846,40,1937,26063,26063,26800,26821,2693192,,,,,,,16-JAN-18 08:33:19,
189,DB,08-JAN-18 00:00:00,6093299,20,1610,45170,45170,45231,45246,2172259,,,,,,,16-JAN-18 08:33:19,
190,DB,08-JAN-18 00:00:00,6100066,5,7017,29798,29798,29781,29801,1000268,,,,,,,16-JAN-18 08:33:19,
191,DB,08-JAN-18 00:00:00,6097868,26,429,64560,64560,63397,63410,2406873,,,,,,,16-JAN-18 08:33:19,
192,DB,08-JAN-18 00:00:00,6090996,26,2661,46139,46139,45962,45976,1000750,,,,,,,16-JAN-18 08:33:19,
193,DB,08-JAN-18 00:00:00,6095860,17,2478,47603,47603,47371,47371,1932311,,,,,,,16-JAN-18 08:33:19,
194,DB,08-JAN-18 00:00:00,6093804,11,2945,30302,30302,30349,30370,2693219,,,,,,,16-JAN-18 08:33:19,
195,DB,08-JAN-18 00:00:00,6092858,35,4436,55060,55060,55288,55288,1000964,,,,,,,16-JAN-18 08:33:19,
196,DB,08-JAN-18 00:00:00,6103951,48,752,30593,30593,30721,30744,1000183,,,,,,,16-JAN-18 08:33:19,
197,DB,08-JAN-18 00:00:00,6092365,63,2017,50874,50874,50665,50665,1000945,,,,,,,16-JAN-18 08:33:19,
198,DB,08-JAN-18 00:00:00,6090385,49,2617,32202,32202,32803,32854,1932332,,,,,,,16-JAN-18 08:33:19,
199,DB,08-JAN-18 00:00:00,6092807,58,2382,43253,43253,43385,43385,1000756,,,,,,,16-JAN-18 08:33:19,
200,DB,08-JAN-18 00:00:00,6103043,47,6011,82769,82769,82434,82434,2693291,,,,,,,16-JAN-18 08:33:19,
201,DB,09-JAN-18 00:00:00,6092130,11,833,52294,52294,52042,52042,2693268,,,,,,,17-JAN-18 07:58:19,
202,DB,09-JAN-18 00:00:00,6095772,22,5143,42745,42745,42476,42494,2868334,,,,,,,17-JAN-18 07:58:19,
203,DB,09-JAN-18 00:00:00,6092134,18,84,71829,71829,71581,71581,2693268,,,,,,,17-JAN-18 07:58:19,
204,DB,08-JAN-18 00:00:00,6098110,30,3671,78120,78120,78282,78282,2534846,,,,,,,16-JAN-18 08:33:19,
